time,Q,T
3.710000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.720000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.730000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.740000000000000000e+02,3.000000000000000000e+01,4.797999999999999687e+01
3.750000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.760000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.770000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.780000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.790000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.800000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.810000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.820000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
3.830000000000000000e+02,3.000000000000000000e+01,4.765999999999999659e+01
